,Anger_Input,Sadness_Input,Fear_Input,Joy_Input,Disgust_Input,userId,username,userGroup,userLoginTime,inputTime,inputText,word_count,website,emoji,polarity,subjectivity
1,0.015765513,0.049445703,0.047929172,0.01658574,0.017227236,19g68kmexpt99,matter83514,Keyboard,2021-03-19-00-26-51,2021-03-19-00-00-00,why cant it be tomorrow grinning face with big eyes,10,,[],0,0.1
3,0.001198316,0.001667222,0.008801061,0.177481074,0.007355051,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-19-14-00-00,hubby and i run our own business so we were out seeing customers which makes me happy,17,,[],0.7,1
5,0.014423131,0.000820189,0.009792407,0.120482204,0.032222222,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-19-17-00-00,did some work for our business and picked up my sons dog to look after for the weekend,18,,[],0,0
7,0.003160908,0.00154607,0.012613488,0.163301698,0.01081314,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-19-17-00-00,had a great morning,4,,[],0.8,0.75
9,0.011257812,0.011189094,0.021392292,0.065742197,0.019067446,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-19-21-00-00,made a yummy dinner as my husband went to work then watched a bit of then went to bed,19,,[],0,0
11,0.015988048,0.000326067,0.010860307,0.105311534,0.028250843,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-19-21-00-00,did some work and picked up my sons dog for the weekend,12,,[],0,0
13,0.004298411,0.001587706,0.011412172,0.173974853,0.01485984,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-19-21-00-00,had a great day,4,,[],0.8,0.75
15,0.015610922,0.004618,0.038702715,0.193264776,0.023403997,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-20-13-00-00,went and saw my and am able to start weaning off some of my and other anxiety so i am really happy about that,24,,[],0.391666667,0.666666667
17,0.0038474,0.001179879,0.010815526,0.147280901,0.010961304,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-20-13-00-00,had a good morning,4,,[],0.7,0.6
19,0.038503343,0.104107473,0.083885832,0.013631501,0.029512313,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-20-18-00-00,should have done some housework but i can tomorrow morning,10,,[],0,0
21,0.003160908,0.00154607,0.012613488,0.163301698,0.01081314,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-20-18-00-00,had a great morning,4,,[],0.8,0.75
23,0.009925234,0.001681119,0.020724811,0.061642035,0.010968826,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-20-18-00-00,did some baking,3,,[],0,0
25,0,0,0,0.145453165,0,19g68kmexxfoh,receive07916,Frank,2021-03-19-00-35-10,2021-03-21-11-00-00,had a lovely sleep in and a nice quiet breakfast with my husband and sons dog,16,,[],0.366666667,0.694444444
27,0.005148582,0.001175046,0.013176452,0.095605299,0.013237313,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-19-13-00-00,the i think its going to be but the support seems really good and i should learn a lot,19,,[],0.7,0.6
29,0.011766538,0.005497002,0.045956721,0.052276269,0.026305844,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-19-13-00-00,hows your work going super psych grinning face with big eyes,11,,[],0.166666667,0.383333333
31,0.111658629,0.122912963,0.06146575,0.00133421,0.088364537,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-19-15-00-00,disc not ejecting,3,,[],0,0
33,0.014780105,0.011451183,0.030147849,0.063697951,0.019091086,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-20-14-00-00,bacon sun dried tomato eggs green shapes chips milk,9,,[],-0.2,0.45
35,0.02139637,0.018495425,0.045324209,0.057605442,0.022428407,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-20-14-00-00,green shapes chips milk,4,,[],-0.2,0.3
37,0.002337867,0.002813194,0.023463073,0.052119754,0.020916022,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-20-16-00-00,how good will private practice be grinning face with big eyes grinning face with big eyes grinning face with big eyes,21,,[],0.14,0.255
39,0.003220461,0.000570146,0.006758545,0.04150595,0.008030066,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-20-16-00-00,its expensive but i get primary and secondary and all my so its easy plus they know what they re doing,21,,[],0.008333333,0.583333333
41,0.079843097,0.094358424,0.114110015,0.010520481,0.061512926,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-20-16-00-00,running completely broke until i start work which until mid so its going to be very quiet here,18,,[],0.033333333,0.277777778
43,0.011742926,0.004577752,0.037074657,0.060873664,0.025815519,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-20-16-00-00,how good are school holidays grinning face with big eyes going to use for supervisors its,16,,[],0.35,0.35
45,0.020239548,0.005459387,0.012133185,0.04421953,0.023109445,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-21-22-00-00,review shades parody musical,4,,[],0,0
